  0.59503792E-01  0.48058686E-02  0.17241112E-02 -0.27612820E-01
  0.60195697E-01  0.48413261E-02  0.17631657E-02 -0.27932653E-01
  0.60887601E-01  0.48761231E-02  0.18025633E-02 -0.28252523E-01
  0.61579506E-01  0.49102547E-02  0.18422933E-02 -0.28572434E-01
  0.62271410E-01  0.49437161E-02  0.18823447E-02 -0.28892389E-01
  0.62963315E-01  0.49765023E-02  0.19227063E-02 -0.29212391E-01
  0.63655219E-01  0.50086088E-02  0.19633667E-02 -0.29532444E-01
  0.64347124E-01  0.50400310E-02  0.20043140E-02 -0.29852549E-01
  0.65039029E-01  0.50707642E-02  0.20455366E-02 -0.30172710E-01
  0.65730933E-01  0.51008041E-02  0.20870221E-02 -0.30492931E-01
  0.66422838E-01  0.51301463E-02  0.21287585E-02 -0.30813213E-01
  0.67114742E-01  0.51587866E-02  0.21707331E-02 -0.31133560E-01
  0.67806647E-01  0.51867208E-02  0.22129332E-02 -0.31453974E-01
  0.68498551E-01  0.52139448E-02  0.22553462E-02 -0.31774458E-01
  0.69190456E-01  0.52404546E-02  0.22979590E-02 -0.32095015E-01
  0.69882361E-01  0.52662464E-02  0.23407585E-02 -0.32415646E-01
  0.70574265E-01  0.52913163E-02  0.23837314E-02 -0.32736354E-01
  0.71266170E-01  0.53156607E-02  0.24268644E-02 -0.33057141E-01
  0.71958074E-01  0.53392759E-02  0.24701440E-02 -0.33378009E-01
  0.72649979E-01  0.53621583E-02  0.25135566E-02 -0.33698961E-01
  0.73341883E-01  0.53843047E-02  0.25570885E-02 -0.34019997E-01
  0.74033788E-01  0.54057116E-02  0.26007260E-02 -0.34341120E-01
  0.74725692E-01  0.54263759E-02  0.26444552E-02 -0.34662331E-01
  0.75417597E-01  0.54462944E-02  0.26882624E-02 -0.34983631E-01
  0.76109502E-01  0.54654640E-02  0.27321335E-02 -0.35305022E-01
  0.76801406E-01  0.54838819E-02  0.27760547E-02 -0.35626505E-01
  0.77493311E-01  0.55015453E-02  0.28200120E-02 -0.35948080E-01
  0.78185215E-01  0.55184513E-02  0.28639914E-02 -0.36269749E-01
  0.78877120E-01  0.55345975E-02  0.29079789E-02 -0.36591511E-01
  0.79569024E-01  0.55499812E-02  0.29519607E-02 -0.36913368E-01
  0.80260929E-01  0.55646001E-02  0.29959227E-02 -0.37235319E-01
  0.80952833E-01  0.55784518E-02  0.30398512E-02 -0.37557364E-01
  0.81644738E-01  0.55915342E-02  0.30837322E-02 -0.37879503E-01
  0.82336643E-01  0.56038451E-02  0.31275520E-02 -0.38201736E-01
  0.83028547E-01  0.56153827E-02  0.31712969E-02 -0.38524062E-01
  0.83720452E-01  0.56261449E-02  0.32149533E-02 -0.38846480E-01
  0.84412356E-01  0.56361301E-02  0.32585077E-02 -0.39168989E-01
  0.85104261E-01  0.56453366E-02  0.33019467E-02 -0.39491588E-01
  0.85796165E-01  0.56537628E-02  0.33452569E-02 -0.39814275E-01
  0.86488070E-01  0.56614073E-02  0.33884254E-02 -0.40137049E-01
  0.87179975E-01  0.56682688E-02  0.34314390E-02 -0.40459907E-01
  0.87871879E-01  0.56743461E-02  0.34742849E-02 -0.40782847E-01
  0.88563784E-01  0.56796380E-02  0.35169504E-02 -0.41105868E-01
  0.89255688E-01  0.56841437E-02  0.35594230E-02 -0.41428965E-01
  0.89947593E-01  0.56878622E-02  0.36016904E-02 -0.41752136E-01
  0.90639497E-01  0.56907929E-02  0.36437405E-02 -0.42075378E-01
  0.91331402E-01  0.56929350E-02  0.36855613E-02 -0.42398688E-01
  0.92023306E-01  0.56942881E-02  0.37271412E-02 -0.42722061E-01
  0.92715211E-01  0.56948518E-02  0.37684687E-02 -0.43045494E-01
  0.93407116E-01  0.56946257E-02  0.38095326E-02 -0.43368981E-01
  0.94099020E-01  0.56936099E-02  0.38503220E-02 -0.43692520E-01
  0.94790925E-01  0.56918041E-02  0.38908260E-02 -0.44016104E-01
  0.95482829E-01  0.56892086E-02  0.39310343E-02 -0.44339729E-01
  0.96174734E-01  0.56858235E-02  0.39709368E-02 -0.44663389E-01
  0.96866638E-01  0.56816491E-02  0.40105234E-02 -0.44987079E-01
  0.97558543E-01  0.56766860E-02  0.40497848E-02 -0.45310792E-01
  0.98250447E-01  0.56709346E-02  0.40887115E-02 -0.45634523E-01
  0.98942352E-01  0.56643957E-02  0.41272947E-02 -0.45958264E-01
  0.99634257E-01  0.56570702E-02  0.41655257E-02 -0.46282009E-01
  0.10032616E+00  0.56489589E-02  0.42033963E-02 -0.46605751E-01
